symbol,status,fromCurrency,toCurrency,description,created,updated
AUDUSD,N,AUD,USD,"AUD to USD",2017-06-03,NULL
CADUSD,N,CAD,USD,"CAD to USD",2017-06-03,NULL
EURSGD,A,EUR,SGD,"Euro to SGD",2017-06-03,NULL
GBPSGD,A,GBP,SGD,"GBP to SGD",2017-06-03,NULL
HKDUSD,A,HKD,USD,"HKD to USD",2017-06-03,NULL
JPYUSD,N,JPY,USD,"JPY to USD",2017-06-03,NULL
SGDAUD,A,SGD,AUD,"SGD to AUD",2017-06-03,0000-00-00
SGDCAD,A,SGD,CAD,"SGD to CAD",2017-06-03,0000-00-00
SGDJPY,A,SGD,JPY,"SGD to JPY",2017-06-03,0000-00-00
SGDUSD,A,SGD,USD,"Singapore Dollar to USD",2017-06-03,NULL
USDAUD,N,USD,AUD,"USD to AUD",2017-06-03,NULL
USDCAD,N,USD,CAD,"USD to CAD",2017-06-03,NULL
USDEUR,A,USD,EUR,"USD to EURO",2017-06-03,NULL
USDGBP,A,USD,GBP,"USD to GBP",2017-06-03,NULL
USDJPY,N,USD,JPY,"USD to JPY",2017-06-03,NULL
